Facility Id,Facility Name,FRS Id,City,State,Zip Code,Latest Reporting Year,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Is_Direct_Emitter,Is_Supplier,Basin,State where Emissions Occur,Does the facility employ continuous emissions monitoring? ,Parent Company,Parent Ownership %
1001626,New Mexico Gas Company,110043814771.0,Albuquerque,NM,87109,2015,7120 Wyoming Blvd. NE Ste. 20,BERNALILLO COUNTY,35.159792,-106.55982,221210.0,"NN-LDC,W-LDC",,False,True,,,,TECO ENERGY INC,100.0
1003642,New York State Electric and Gas,110043793035.0,Binghamton,NY,13904,2015,18 Link Drive,BROOME COUNTY,42.10469,-75.82226,221210.0,"NN-LDC,W-LDC",,False,True,,,,IBERDROLA USA INC,100.0
1003868,Nitrous Oxide Corp,110070081881.0,Lawrenceville,GA,30043,2015,"2530 Sever Road, Suite 300",GWINNETT COUNTY,33.999241,-84.070449,325120.0,OO,,False,True,,,,AIRGAS INC,100.0
1010427,Noble Americas Corp,110054619882.0,Stamford,CT,6902,2015,"Four Stamford Plaza, 107 Elm Street",FAIRFIELD COUNTY,41.05292,-73.53181,424710.0,"MM-IMP,MM-EXP",,False,True,,,,NOBLE AMERICAS CORP,100.0
1005070,Norco Fractionation Plant,110015604283.0,Norco,LA,70079,2015,15608 Highway 61,ST. CHARLES PARISH,30.01418,-90.40521,211112.0,"C,NN-FRAC,W-PROC",,False,True,,,,ENTERPRISE PRODUCTS PARTNERS LP,100.0
1003442,North Alabama Gas District,110043814824.0,Muscle Shoals,AL,35661,2015,602 Dearborn Avenue,COLBERT COUNTY,34.74017,-87.667685,221210.0,NN-LDC,,False,True,,,,CITY OF MADISON ALABAMA,50.0
1003359,North Shore Gas Company,110043809199.0,Chicago,IL,60601,2015,200 East Randolph Street,COOK COUNTY,41.88449,-87.62314,221210.0,NN-LDC,,False,True,,,,WEC Energy Group,100.0
1009724,NorthWestern Energy NE LDC,110054620594.0,Butte,MT,59701,2015,11 E. Park,SILVER BOW COUNTY,46.013787,-112.534853,221210.0,"NN-LDC,W-LDC",,False,True,,,,NORTHWESTERN ENERGY,100.0
1002986,"NorthWestern Energy, SD LDC",110043814227.0,Butte,MT,59701,2015,11 E. Park,SILVER BOW COUNTY,46.01382,-112.53437,221210.0,"NN-LDC,W-LDC",,False,True,,,,NORTHWESTERN ENERGY,100.0
1006170,Northeast Oklahoma Public Facilities Authority,110054620521.0,Tahlequah,OK,74464,2015,103 N. College ave,CHEROKEE COUNTY,35.913812,-94.972269,221210.0,NN-LDC,,False,True,,,,NORTHEAST OKLAHOMA PUBLIC FACILITIES AUTHORITY,100.0
