Direct Point Emitters,Facility Id,Facility Name,GHG Quantity Associated with CO2 Supply ,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Produced,Gathering & Boosting,LDC - Direct Emissions,Onshore Oil & Gas Prod.,SF6 from Elec. Equip.,Transmission Pipelines,Year,Parent Company,Parent Ownership %,Total Direct Emissions,Total Supplier Emissions
152552.848,1003582,WASTE MANAGEMENT OF MICHIGAN INCORPORATED,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,152552.848,0.0
60709.598,1003583,DAKOTA MUNICIPAL SOLID WASTE LANDFILL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,60709.598,0.0
31913.88,1003585,TOYOTA MOTOR MANUFACTURING TEXAS INC,,,,,,,,,,,,,2015,TOYOTA MOTOR NORTH AMERICA INC,100.0,31913.88,0.0
979.75,1003586,OLYMPIC VIEW SANITARY LANDFILL INC,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,979.75,0.0
8693.092,1003587,MARTONE LANDFILL & GAS GENERATING FACILITY,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,8693.092,0.0
9757.298,1003588,LAKE LANDFILL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,9757.298,0.0
413729.034,1003589,SHELL CHEMICAL COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,11588646.6265845,,,,,,2015,SHELL OIL CO,100.0,413729.034,11588646.6265845
75354.78,1003590,REVERE SMELTING & REFINING CORP,,,,,,,,,,,,,2015,RSR CORP,100.0,75354.78,0.0
136964.984,1003591,AIR LIQUIDE GEISMAR UTILITY SERVICES,,,,,,,,,,,,,2015,AMERICAN AIR LIQUIDE HOLDINGS INC,100.0,136964.984,0.0
40983.396,1003593,LAND O LAKES DRY CONDENSED MILK MFG,,,,,,,,,,,,,2015,LAND O LAKES INC,100.0,40983.396,0.0
359489.628,1003594,DRAGON CEMENT,,,,,,,,,,,,,2015,GIANT CEMENT HOLDING INC,100.0,359489.628,0.0
48643.816,1003595,MERCK SHARP & DOHME CORP - Stonewall Plant,,,,,,,,,,,,,2015,MERCK & CO INC,100.0,48643.816,0.0
24556.028,1003596,Texas Gas Transmission - Jeffersontown Station,,,,,,,,,,,,,2015,LOEWS CORP,100.0,24556.028,0.0
27311.688,1003597,Mohegan Tribe of Indians of Connecticut,,,,,,,,,,,,,2015,MOHEGAN TRIBE OF INDIANS OF CONNECTICUT,100.0,27311.688,0.0
168417.48,1003599,CALABASAS SANITARY LANDFILL,,,,,,,,,,,,,2015,LOS ANGELES COUNTY SANITATION DISTRICTS,100.0,168417.48,0.0
30878.918,1003600,Unionville Storage Compressor Station,,,,,,,,,,,,,2015,ENABLE MIDSTREAM PARTNERS LP,100.0,30878.918,0.0
237791.4,1003601,RIVERVIEW LAND PERSERVE,,,,,,,,,,,,,2015,CITY OF RIVERVIEW,100.0,237791.4,0.0
27010.348,1003602,CASCADES TISSUE GROUP PA RANSOM PLT,,,,,,,,,,,,,2015,CASCADES USA INC,100.0,27010.348,0.0
,1003603,Clark Oil Trading Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2015,APEX OIL CO INC ,100.0,0.0,0.0
40957.5,1003605,CITY OF MUSCATINE LANDFILL,,,,,,,,,,,,,2015,MUSCATINE COUNTY SOLID WASTE MANAGEMENT AGENCY,100.0,40957.5,0.0
28016.244,1003607,"Dunn Paper - Ladysmith, LLC",,,,,,,,,,,,,2015,CLEARWATER PAPER CORP,100.0,28016.244,0.0
43842.792,1003608,Foxskin Compressor Station,,,,,,,,,,,,,2015,ENABLE MIDSTREAM PARTNERS LP,100.0,43842.792,0.0
66570.0,1003609,Lenzing Fibers Inc.,,,,,,,,,,,,,2015,LENZING FIBERS INC,100.0,66570.0,0.0
4522794.822,1003610,CHEVRON PRODS.CO. RICHMOND REFY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2015,CHEVRON CORP,100.0,4522794.822,0.0
2762.75,1003611,PAINTED DESERT LANDFILL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,2762.75,0.0
33154.0,1003612,IRONWOOD LANDFILL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,33154.0,0.0
14234.5,1003614,Hillside Landfill,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,14234.5,0.0
41074.25,1003615,JEFFERSON COUNTY LANDFILL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,41074.25,0.0
95368.0,1003616,MUSKOGEE COMMUNITY LNDFLL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,95368.0,0.0
32960.48,1003617,Luz Solar Partners III - VII,,,,,,,,,,,,,2015,FORTRESS INVESTMENT GROUP; NEXTERA ENERGY; CII SOLAR POWER I INC CONSTELLATION ENERGY; CD SEGS VI INC; CD SEGS V INC; GKJ SOLAR; PACIFIC HOLDING CO; BANK OF THE WEST; USA PETROLEUM; KEITH WILSON; GATEWAY HOME BUILDERS INC; WEYERHAEUSER CO; CANTOR FITZGERALD & CO; PARDEE CONSTRUCTION; WEYERHAEUSER CO; VMK ENTERPRISES INC,49.33; 44.966; 2.434; 1.768; 0.832; 0.526; 0.102; 0.008; 0.008; 0.006; 0.006; 0.004; 0.004; 0.002; 0.002; 0.002,32960.48,0.0
46128.45,1003619,Okeechobee Landfill,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,46128.45,0.0
83296.6,1003620,C&C LANDFILL,,,,,,,,,,,,,2015,REPUBLIC SERVICES INC,100.0,83296.6,0.0
30732.5,1003621,CANADIAN VALLEY LANDFILL,,,,,,,,,,,,,2015,REPUBLIC SERVICES INC,100.0,30732.5,0.0
26754.4,1003622,EPPERSON WASTE DISPOSAL,,,,,,,,,,,,,2015,REPUBLIC SERVICES INC,100.0,26754.4,0.0
